userId,movieId,plays
1,1,3
1,3,3
1,6,3
1,47,3
1,50,3
1,70,1
1,101,3
1,110,3
1,151,3
1,157,3
1,163,3
1,216,3
1,223,1
1,231,3
1,235,3
1,260,3
1,296,1
1,316,1
1,333,3
1,349,3
1,356,3
1,362,3
1,367,3
1,423,1
1,441,3
1,457,3
1,480,3
1,500,1
1,527,3
1,543,3
1,552,3
1,553,3
1,590,3
1,592,3
1,593,3
1,596,3
1,608,3
1,648,1
1,661,3
1,673,1
1,733,3
1,736,1
1,780,1
1,804,3
1,919,3
1,923,3
1,940,3
1,943,3
1,954,3
1,1009,1
1,1023,3
1,1024,3
1,1025,3
1,1029,3
1,1030,1
1,1031,3
1,1032,3
1,1042,3
1,1049,3
1,1060,3
1,1073,3
1,1080,3
1,1089,3
1,1090,3
1,1092,3
1,1097,3
1,1127,3
1,1136,3
1,1196,3
1,1197,3
1,1198,3
1,1206,3
1,1208,3
1,1210,3
1,1213,3
1,1214,3
1,1220,3
1,1222,3
1,1224,3
1,1226,3
1,1240,3
1,1256,3
1,1258,1
1,1265,3
1,1270,3
1,1275,3
1,1278,3
1,1282,3
1,1291,3
1,1298,3
1,1348,3
1,1377,1
1,1396,1
1,1408,1
1,1445,1
1,1473,3
1,1500,3
1,1517,3
1,1552,3
1,1573,3
1,1580,1
1,1587,3
1,1617,3
1,1620,3
1,1625,3
1,1644,1
1,1676,1
1,1732,3
1,1777,3
1,1793,3
1,1804,3
1,1805,3
1,1920,3
1,1927,3
1,1954,3
1,1967,3
1,2000,3
1,2005,3
1,2012,3
1,2018,3
1,2028,3
1,2033,3
1,2046,3
1,2048,3
1,2054,3
1,2058,3
1,2078,3
1,2090,3
1,2093,1
1,2094,3
1,2096,3
1,2099,3
1,2105,3
1,2115,3
1,2116,3
1,2137,3
1,2139,3
1,2141,3
1,2143,3
1,2161,3
1,2174,3
1,2193,3
1,2268,3
1,2273,3
1,2291,3
1,2329,3
1,2353,3
1,2366,3
1,2387,3
1,2395,3
1,2406,3
1,2414,1
1,2427,3
1,2450,3
1,2459,3
1,2470,3
1,2478,3
1,2492,3
1,2502,3
1,2528,1
1,2529,3
1,2542,3
1,2571,3
1,2580,3
1,2596,3
1,2616,3
1,2628,3
1,2640,3
1,2641,3
1,2644,3
1,2648,3
1,2654,3
1,2657,1
1,2692,3
1,2700,3
1,2716,3
1,2761,3
1,2797,3
1,2826,3
1,2858,3
1,2872,3
1,2899,3
1,2916,3
1,2944,3
1,2947,3
1,2948,3
1,2949,3
1,2959,3
1,2985,3
1,2987,3
1,2991,3
1,2993,3
1,2997,3
1,3033,3
1,3034,3
1,3052,3
1,3053,3
1,3062,3
1,3147,3
1,3168,3
1,3243,1
1,3247,1
1,3253,3
1,3273,3
1,3386,3
1,3439,3
1,3440,3
1,3441,3
1,3448,3
1,3450,3
1,3479,3
1,3489,3
1,3527,3
1,3578,3
1,3617,3
1,3639,3
1,3671,3
1,3702,3
1,3703,3
1,3729,3
1,3740,3
1,3744,3
1,3793,3
1,3809,3
1,4006,3
1,5060,3
2,318,1
2,333,3
2,1704,3
2,3578,3
2,6874,3
2,8798,1
2,46970,3
2,48516,3
2,58559,3
2,60756,3
2,68157,3
2,71535,1
2,74458,3
2,77455,1
2,79132,3
2,80489,3
2,80906,3
2,86345,3
2,89774,3
2,91529,1
2,99114,1
2,106782,3
2,109487,1
2,112552,3
2,115713,1
2,122882,3
2,131724,3
3,849,3
3,1275,1
3,1371,1
3,1587,3
3,2288,3
3,2851,3
3,3024,3
3,3703,3
3,4518,3
3,5181,3
3,5746,3
3,5764,3
3,5919,3
3,6835,3
3,7899,3
3,7991,3
3,26409,3
3,70946,3
4,21,1
4,45,1
4,52,1
4,58,1
4,106,3
4,125,3
4,162,3
4,171,1
4,176,3
4,215,3
4,232,3
4,247,1
4,260,3
4,265,3
4,319,3
4,342,3
4,345,3
4,348,3
4,351,1
4,357,1
4,368,3
4,457,3
4,475,3
4,492,3
4,538,3
4,588,3
4,593,3
4,595,1
4,608,3
4,648,1
4,708,3
4,759,1
4,800,3
4,892,3
4,898,3
4,899,3
4,902,3
4,904,3
4,908,3
4,910,3
4,912,3
4,914,3
4,919,3
4,920,3
4,930,3
4,937,1
4,1025,3
4,1046,3
4,1057,1
4,1073,3
4,1077,3
4,1080,3
4,1084,3
4,1086,3
4,1094,1
4,1103,3
4,1136,3
4,1179,3
4,1188,3
4,1196,3
4,1197,3
4,1198,1
4,1203,3
4,1213,3
4,1219,3
4,1225,3
4,1250,3
4,1259,3
4,1265,3
4,1266,3
4,1282,3
4,1283,3
4,1288,3
4,1291,3
4,1304,1
4,1449,3
4,1466,3
4,1500,3
4,1517,3
4,1580,1
4,1641,3
4,1719,3
4,1732,3
4,1733,3
4,1734,1
4,1834,3
4,1883,3
4,1885,1
4,1895,3
4,1907,1
4,1914,3
4,1923,1
4,1947,3
4,1967,3
4,1968,3
4,2076,3
4,2078,3
4,2109,3
4,2145,1
4,2150,3
4,2174,3
4,2186,3
4,2203,3
4,2204,3
4,2351,3
4,2359,3
4,2390,3
4,2395,1
4,2406,3
4,2467,3
4,2583,3
4,2599,3
4,2683,3
4,2692,3
4,2762,3
4,2791,3
4,2843,3
4,2858,3
4,2874,3
4,2921,3
4,2926,3
4,2997,3
4,3033,3
4,3044,3
4,3060,3
4,3079,1
4,3083,3
4,3160,3
4,3176,3
4,3204,3
4,3255,3
4,3317,3
4,3358,1
4,3365,3
4,3386,3
4,3408,3
4,3508,3
4,3788,1
4,3809,1
4,3851,3
4,3897,3
4,3911,1
4,3967,3
4,3996,3
4,4002,1
4,4020,1
4,4021,3
4,4027,1
4,4029,1
4,4033,3
4,4034,3
4,4074,1
4,4121,3
4,4144,1
4,4166,1
4,4239,3
4,4246,3
4,4252,1
4,4273,3
4,4347,3
4,4381,1
4,4741,1
4,4765,3
4,4881,1
4,4896,3
4,4902,3
4,4967,3
5,1,3
5,21,3
5,34,3
5,36,3
5,39,1
5,50,3
5,58,3
5,110,3
5,150,1
5,153,1
5,232,3
5,247,3
5,253,1
5,261,3
5,265,1
5,290,3
5,296,3
5,300,1
5,318,1
5,344,1
5,349,1
5,364,1
5,367,3
5,410,1
5,457,3
5,474,3
5,475,3
5,515,1
5,527,3
5,531,3
5,534,1
5,588,3
5,589,1
5,590,3
5,592,1
5,594,3
5,595,3
5,596,3
5,597,1
5,608,1
6,2,3
6,3,3
6,4,1
6,5,3
6,6,3
6,7,3
6,8,1
6,10,1
6,11,3
6,13,1
6,15,3
6,16,3
6,17,3
6,22,3
6,24,3
6,25,1
6,26,3
6,27,1
6,31,1
6,32,3
6,34,3
6,36,3
6,41,3
6,43,3
6,45,1
6,46,3
6,47,3
6,54,3
6,60,3
6,61,3
6,62,3
6,65,1
6,66,1
6,76,3
6,79,1
6,86,3
6,87,1
6,89,3
6,92,3
6,93,3
6,95,3
6,100,1
6,104,3
6,105,1
6,110,3
6,112,3
6,113,1
6,126,1
6,135,1
6,140,1
6,141,3
6,145,3
6,146,3
6,150,3
6,151,3
6,153,1
